Airport,Terminal,Date,hour,date_time,Total,Flights,Booths
TPA,Main,2/10/2022,13:00,2022/02/10 13:00,102,1,5
TPA,Main,2/10/2022,14:00,2022/02/10 14:00,65,1,5
TPA,Main,2/10/2022,16:00,2022/02/10 16:00,309,1,6
TPA,Main,2/10/2022,18:00,2022/02/10 18:00,156,1,7
TPA,Main,2/11/2022,11:00,2022/02/11 11:00,73,1,5
TPA,Main,2/11/2022,12:00,2022/02/11 12:00,153,3,5
TPA,Main,2/11/2022,13:00,2022/02/11 13:00,131,1,6
TPA,Main,2/12/2022,12:00,2022/02/12 12:00,70,1,5
TPA,Main,2/12/2022,13:00,2022/02/12 13:00,144,1,5
TPA,Main,2/12/2022,14:00,2022/02/12 14:00,8,1,1
TPA,Main,2/12/2022,15:00,2022/02/12 15:00,367,2,7
TPA,Main,2/12/2022,16:00,2022/02/12 16:00,6,1,1
TPA,Main,2/13/2022,12:00,2022/02/13 12:00,296,3,5
TPA,Main,2/13/2022,13:00,2022/02/13 13:00,136,1,4
TPA,Main,2/13/2022,19:00,2022/02/13 19:00,144,1,5
TPA,Main,2/14/2022,11:00,2022/02/14 11:00,72,1,3
TPA,Main,2/14/2022,12:00,2022/02/14 12:00,99,1,3
TPA,Main,2/14/2022,13:00,2022/02/14 13:00,122,1,4
TPA,Main,2/14/2022,14:00,2022/02/14 14:00,43,1,2
TPA,Main,2/15/2022,13:00,2022/02/15 13:00,223,2,4
TPA,Main,2/15/2022,16:00,2022/02/15 16:00,6,1,1
TPA,Main,2/15/2022,17:00,2022/02/15 17:00,127,1,5
TPA,Main,2/16/2022,12:00,2022/02/16 12:00,56,1,3
TPA,Main,2/16/2022,13:00,2022/02/16 13:00,229,2,4
TPA,Main,2/16/2022,16:00,2022/02/16 16:00,288,1,5
TPA,Main,2/17/2022,12:00,2022/02/17 12:00,59,1,5
TPA,Main,2/17/2022,14:00,2022/02/17 14:00,39,1,4
TPA,Main,2/17/2022,15:00,2022/02/17 15:00,245,1,7
TPA,Main,2/17/2022,18:00,2022/02/17 18:00,152,1,5
TPA,Main,2/17/2022,20:00,2022/02/17 20:00,126,1,6
TPA,Main,2/18/2022,12:00,2022/02/18 12:00,34,1,5
TPA,Main,2/18/2022,13:00,2022/02/18 13:00,148,2,5
TPA,Main,2/18/2022,14:00,2022/02/18 14:00,100,1,6
TPA,Main,2/18/2022,20:00,2022/02/18 20:00,113,1,5
TPA,Main,2/19/2022,12:00,2022/02/19 12:00,140,2,4
TPA,Main,2/19/2022,15:00,2022/02/19 15:00,302,1,5
TPA,Main,2/19/2022,19:00,2022/02/19 19:00,120,1,5
TPA,Main,2/20/2022,12:00,2022/02/20 12:00,184,2,5
TPA,Main,2/20/2022,13:00,2022/02/20 13:00,103,1,5
TPA,Main,2/20/2022,17:00,2022/02/20 17:00,315,2,4
TPA,Main,2/20/2022,19:00,2022/02/20 19:00,137,1,4
TPA,Main,2/21/2022,12:00,2022/02/21 12:00,259,2,5
TPA,Main,2/21/2022,14:00,2022/02/21 14:00,85,1,4
TPA,Main,2/21/2022,16:00,2022/02/21 16:00,109,1,2
TPA,Main,2/21/2022,17:00,2022/02/21 17:00,190,1,4
TPA,Main,2/21/2022,19:00,2022/02/21 19:00,127,1,2
TPA,Main,2/22/2022,12:00,2022/02/22 12:00,137,1,3
TPA,Main,2/22/2022,18:00,2022/02/22 18:00,226,2,5
TPA,Main,2/23/2022,12:00,2022/02/23 12:00,173,2,5
TPA,Main,2/23/2022,16:00,2022/02/23 16:00,195,1,5
TPA,Main,2/23/2022,18:00,2022/02/23 18:00,7,1,1
TPA,Main,2/23/2022,19:00,2022/02/23 19:00,164,1,5
TPA,Main,2/24/2022,13:00,2022/02/24 13:00,70,1,4
TPA,Main,2/24/2022,14:00,2022/02/24 14:00,272,2,7
TPA,Main,2/24/2022,20:00,2022/02/24 20:00,119,1,4
TPA,Main,2/24/2022,21:00,2022/02/24 21:00,193,1,5
TPA,Main,2/25/2022,11:00,2022/02/25 11:00,75,1,4
TPA,Main,2/25/2022,12:00,2022/02/25 12:00,222,2,5
TPA,Main,2/25/2022,13:00,2022/02/25 13:00,125,1,5
TPA,Main,2/25/2022,20:00,2022/02/25 20:00,113,1,5
TPA,Main,2/26/2022,13:00,2022/02/26 13:00,138,1,6
TPA,Main,2/26/2022,14:00,2022/02/26 14:00,213,1,7
TPA,Main,2/26/2022,19:00,2022/02/26 19:00,106,1,6
TPA,Main,2/26/2022,20:00,2022/02/26 20:00,84,1,4
TPA,Main,2/27/2022,12:00,2022/02/27 12:00,148,1,5
TPA,Main,2/27/2022,13:00,2022/02/27 13:00,207,2,6
